time,Volt,Volt2,Cai,CaSR,Nai,Ki,M,H,J,Xr1,Xr2,Xs,S,R,D,F,FCa,G,Itot
125,13.7742,-86.2,0.00044064,0.491591,11.5916,138.299,0.96,8.73234e-314,2.86656e-93,0.954394,0.0139686,0.101022,0.000991075,0.27329,0.92461,0.408924,0.217596,6.51083e-07,0.135627
130,13.0805,-86.2,0.000425728,0.495223,11.591,138.299,0.96,1.97626e-323,4.45786e-96,0.957742,0.0143614,0.104478,0.00112795,0.251801,0.91792,0.393133,0.217596,6.51083e-07,0.141922
135,12.354,-86.2,0.000411464,0.498806,11.5904,138.299,0.95,1.97626e-323,9.03095e-99,0.960622,0.0147841,0.107867,0.00129132,0.230593,0.910342,0.377869,0.217596,6.51083e-07,0.148742
140,11.592,-86.2,0.000397823,0.502337,11.5898,138.299,0.95,1.97626e-323,2.3865e-101,0.963098,0.0152402,0.111186,0.00148785,0.209793,0.901726,0.363154,0.217596,6.51083e-07,0.15612
145,10.7917,-86.2,0.000384782,0.505812,11.5892,138.299,0.93,1.97626e-323,8.23636e-104,0.965223,0.0157337,0.114435,0.00172625,0.189533,0.891895,0.349017,0.217596,6.51083e-07,0.164085
150,9.94997,-86.2,0.000372318,0.50923,11.5886,138.299,0.98,1.97626e-323,3.71615e-106,0.967041,0.0162693,0.117609,0.00201799,0.16995,0.880641,0.335491,0.217596,6.51083e-07,0.172667
155,9.06374,-86.2,0.00036041,0.512588,11.588,138.299,0.97,1.97626e-323,2.19359e-108,0.968589,0.0168522,0.120707,0.00237831,0.151179,0.867724,0.322619,0.217596,6.51083e-07,0.181897
160,8.12967,-86.2,0.000349034,0.515883,11.5874,138.299,0.94,1.97626e-323,1.69467e-110,0.969897,0.0174884,0.123724,0.00282765,0.133348,0.852863,0.310455,0.217596,6.51083e-07,0.191809
165,7.14423,-86.2,0.00033817,0.519113,11.5868,138.299,0.98,1.97626e-323,1.7134e-112,0.97099,0.0181849,0.126659,0.00339375,0.116574,0.835741,0.299055,0.217596,6.51083e-07,0.20245
170,6.10361,-86.2,0.000327795,0.522276,11.5862,138.299,0.97,1.97626e-323,2.26588e-114,0.97189,0.0189495,0.129507,0.00411458,0.100957,0.815996,0.288486,0.217596,6.51083e-07,0.213893
175,5.00353,-86.2,0.000317888,0.525371,11.5856,138.299,0.96,1.97626e-323,3.91524e-116,0.972614,0.0197916,0.132265,0.00504286,0.0865745,0.793229,0.278814,0.217596,6.51083e-07,0.22626
180,3.83889,-86.2,0.000308425,0.528397,11.5851,138.298,0.94,1.97626e-323,8.82549e-118,0.973174,0.0207224,0.13493,0.00625281,0.0734765,0.767007,0.270105,0.217596,6.51083e-07,0.239756
185,2.60326,-86.2,0.000299385,0.531351,11.5845,138.298,0.94,1.97626e-323,2.59005e-119,0.973581,0.0217556,0.137499,0.00785063,0.0616834,0.736864,0.262413,0.217596,6.51083e-07,0.254717
