time,Volt,Volt2,Cai,CaSR,Nai,Ki,M,H,J,Xr1,Xr2,Xs,S,R,D,F,FCa,G,Itot
630,12.9632,-86.2,0.000979415,0.417734,11.61,138.285,0.98,7.41761e-19,5.48294e-06,0.163671,0.0379574,0.0120858,0.295776,0.324926,0.917518,0.941125,0.27341,0.0626265,0.464483
635,13.7123,-86.2,0.00100274,0.417039,11.6098,138.284,0.93,5.26519e-31,1.01357e-08,0.227538,0.0189562,0.0159557,0.145587,0.255124,0.922961,0.904164,0.220475,0.00514074,-0.461039
640,16.1543,-86.2,0.000972405,0.420676,11.6095,138.284,0.96,2.23203e-43,8.64274e-12,0.296867,0.0143914,0.0199444,0.069139,0.306487,0.943143,0.869633,0.217058,0.00042204,-0.469031
645,18.243,-86.2,0.000937885,0.424689,11.6092,138.283,0.93,5.59706e-56,2.64773e-15,0.372943,0.0125747,0.0240739,0.0310147,0.390323,0.956464,0.837883,0.217058,3.47526e-05,-0.363879
650,19.78,-86.2,0.000903581,0.428746,11.6088,138.283,0.93,9.85304e-69,3.27386e-19,0.45143,0.0115504,0.0283078,0.0131775,0.464165,0.964336,0.808542,0.217058,3.05074e-06,-0.250949
655,20.7581,-86.2,0.000870106,0.432816,11.6083,138.283,0.95,1.39607e-81,2.03787e-23,0.527309,0.0109232,0.032606,0.00541789,0.515597,0.968643,0.781084,0.217058,6.12146e-07,-0.143006
660,21.2436,-86.2,0.000837686,0.436896,11.6079,138.283,0.98,1.76219e-94,8.3418e-28,0.596537,0.0105742,0.0369313,0.00224997,0.544238,0.970618,0.755034,0.217058,5.64446e-07,-0.0559282
665,21.3611,-86.2,0.000806434,0.440982,11.6074,138.283,0.96,2.12735e-107,2.87023e-32,0.656979,0.010427,0.0412539,0.00101313,0.554982,0.971108,0.730039,0.217058,5.64446e-07,0.00437814
670,21.2367,-86.2,0.00077639,0.445072,11.6068,138.283,0.92,2.573e-120,9.94998e-37,0.70829,0.0104172,0.0455531,0.000544943,0.55363,0.970669,0.705866,0.217058,5.64446e-07,0.0420679
675,20.9654,-86.2,0.000747551,0.449165,11.6063,138.282,0.95,3.21035e-133,3.89719e-41,0.751197,0.010495,0.0498162,0.000375211,0.544757,0.969639,0.682378,0.217058,5.64446e-07,0.0643907
680,20.6077,-86.2,0.000719888,0.453256,11.6057,138.282,0.97,4.20899e-146,1.84141e-45,0.786849,0.0106272,0.0540356,0.0003218,0.531381,0.968214,0.659494,0.217058,5.64446e-07,0.0775072
685,20.1985,-86.2,0.000693362,0.457345,11.6052,138.282,0.94,5.86948e-159,1.08703e-49,0.816437,0.0107935,0.0582071,0.000315337,0.515314,0.966497,0.63717,0.217058,5.64446e-07,0.0855291
690,19.7566,-86.2,0.000667928,0.461428,11.6046,138.282,0.95,8.7829e-172,8.16235e-54,0.841032,0.0109824,0.0623282,0.000329439,0.497588,0.96454,0.615379,0.217058,5.64446e-07,0.0908984
695,19.2915,-86.2,0.000643543,0.465502,11.6041,138.282,0.94,1.42039e-184,7.86596e-58,0.861538,0.0111881,0.0663973,0.000354093,0.478776,0.96236,0.594104,0.217058,5.64446e-07,0.0949806
700,18.8076,-86.2,0.000620164,0.469564,11.6035,138.282,0.96,2.49893e-197,9.77121e-62,0.878697,0.0114078,0.0704134,0.00038563,0.459198,0.959955,0.573336,0.217058,5.64446e-07,0.0985178
705,18.3065,-86.2,0.000597748,0.473611,11.6029,138.282,0.95,4.81397e-210,1.56802e-65,0.893109,0.0116406,0.0743755,0.000422937,0.439036,0.957309,0.553066,0.217058,5.64446e-07,0.101911
710,17.7883,-86.2,0.000576258,0.47764,11.6023,138.282,0.92,1.02242e-222,3.2545e-69,0.905262,0.0118864,0.0782829,0.000466027,0.418403,0.954397,0.53329,0.217058,5.64446e-07,0.105379
715,17.2523,-86.2,0.000555658,0.481647,11.6017,138.282,0.94,2.4119e-235,8.74396e-73,0.915547,0.0121461,0.0821345,0.000515485,0.397382,0.951187,0.514004,0.217058,5.64446e-07,0.109047
720,16.6973,-86.2,0.000535912,0.485629,11.6011,138.281,0.93,6.37156e-248,3.04337e-76,0.924282,0.0124207,0.0859294,0.000572283,0.376039,0.947639,0.495205,0.217058,5.64446e-07,0.112993
725,16.1218,-86.2,0.000516989,0.489583,11.6005,138.281,0.95,1.90217e-260,1.37335e-79,0.931723,0.0127117,0.0896665,0.000637734,0.354444,0.943703,0.476893,0.217058,5.64446e-07,0.117269
730,15.5239,-86.2,0.000498858,0.493505,11.5999,138.281,0.93,6.48342e-273,8.04267e-83,0.93808,0.0130208,0.0933446,0.000713523,0.332669,0.939322,0.459069,0.217058,5.64446e-07,0.121917
735,14.9018,-86.2,0.00048149,0.497392,11.5993,138.281,0.95,2.55213e-285,6.11893e-86,0.943525,0.01335,0.0969622,0.000801779,0.310794,0.934427,0.441735,0.217058,5.64446e-07,0.126974
740,14.2533,-86.2,0.000464856,0.50124,11.5987,138.281,0.91,1.17537e-297,6.05509e-89,0.948198,0.0137015,0.100518,0.000905199,0.288912,0.928936,0.424899,0.217058,5.64446e-07,0.132472
745,13.5762,-86.2,0.000448932,0.505045,11.5981,138.281,0.93,6.4267e-310,7.80342e-92,0.952214,0.0140779,0.10401,0.00102721,0.267124,0.922755,0.408569,0.217058,5.64446e-07,0.138445
750,12.8679,-86.2,0.00043369,0.508805,11.5975,138.281,0.97,4.24896e-322,1.3114e-94,0.955669,0.0144821,0.107436,0.00117218,0.245544,0.915767,0.39276,0.217058,5.64446e-07,0.144927
755,12.1259,-86.2,0.000419105,0.512515,11.5969,138.281,0.95,1.97626e-323,2.87757e-97,0.958642,0.0149174,0.110795,0.00134576,0.224295,0.907839,0.377488,0.217058,5.64446e-07,0.151948
760,11.3473,-86.2,0.000405155,0.516173,11.5963,138.281,0.96,1.97626e-323,8.25444e-100,0.961197,0.0153876,0.114083,0.00155528,0.203507,0.89881,0.362779,0.217058,5.64446e-07,0.159541
765,10.5293,-86.2,0.000391815,0.519776,11.5957,138.281,0.95,1.97626e-323,3.09871e-102,0.963391,0.0158969,0.117299,0.00181035,0.183318,0.888492,0.348663,0.217058,5.64446e-07,0.167734
770,9.66876,-86.2,0.000379062,0.523321,11.5951,138.281,0.95,1.97626e-323,1.52359e-104,0.965267,0.0164502,0.12044,0.00212365,0.163863,0.876667,0.335179,0.217058,5.64446e-07,0.176559
775,8.76243,-86.2,0.000366874,0.526804,11.5945,138.281,0.96,1.97626e-323,9.81719e-107,0.966864,0.017053,0.123503,0.00251212,0.145279,0.863076,0.322374,0.217058,5.64446e-07,0.186047
780,7.80692,-86.2,0.000355228,0.530224,11.5939,138.281,0.95,1.97626e-323,8.29088e-109,0.968213,0.0177116,0.126484,0.00299859,0.127692,0.847426,0.310302,0.217058,5.64446e-07,0.196235
785,6.79861,-86.2,0.000344102,0.533578,11.5934,138.281,0.98,1.97626e-323,9.17441e-111,0.96934,0.0184334,0.129381,0.00361413,0.111214,0.829379,0.299028,0.217058,5.64446e-07,0.207179
790,5.7335,-86.2,0.000333474,0.536865,11.5928,138.281,0.95,1.97626e-323,1.32913e-112,0.970266,0.0192267,0.132191,0.00440153,0.0959368,0.808561,0.288619,0.217058,5.64446e-07,0.218965
795,4.60706,-86.2,0.000323321,0.540081,11.5922,138.281,0.95,1.97626e-323,2.51765e-114,0.971009,0.0201016,0.134909,0.00542053,0.0819295,0.784554,0.279143,0.217058,5.64446e-07,0.231744
800,3.41374,-86.2,0.00031362,0.543227,11.5917,138.28,0.96,1.97626e-323,6.22397e-116,0.971583,0.0210701,0.137532,0.00675571,0.0692312,0.756909,0.270664,0.217058,5.64446e-07,0.245762
805,2.14642,-86.2,0.000304349,0.546299,11.5911,138.28,0.9,1.97626e-323,2.0037e-117,0.971997,0.0221474,0.140057,0.00852913,0.0578508,0.725152,0.263233,0.217058,5.64446e-07,0.261423
810,0.79542,-86.2,0.000295481,0.549298,11.5906,138.28,0.93,1.97626e-323,8.38023e-119,0.972259,0.0233526,0.142481,0.0109205,0.0477677,0.688789,0.256879,0.217058,5.64446e-07,0.279347
815,-0.652714,-86.2,0.00028699,0.552221,11.59,138.28,0.94,1.97626e-323,4.54289e-120,0.972373,0.0247116,0.1448,0.0142012,0.0389347,0.647324,0.251606,0.217058,5.64446e-07,0.300445
820,-2.2169,-86.2,0.000278845,0.555069,11.5895,138.28,0.93,1.97626e-323,3.1859e-121,0.97234,0.0262599,0.147012,0.0187917,0.0312839,0.600286,0.247389,0.217058,5.64446e-07,0.325996
825,-3.92348,-86.2,0.000271012,0.55784,11.589,138.28,0.97,1.97626e-323,2.887e-122,0.972156,0.0280473,0.149113,0.0253614,0.0247338,0.547278,0.244174,0.217058,5.64446e-07,0.357705
830,-5.80852,-86.2,0.000263451,0.560533,11.5885,138.28,0.97,1.97626e-323,3.3798e-123,0.971812,0.0301456,0.1511,0.0349991,0.0191969,0.488083,0.241887,0.217058,5.64446e-07,0.397744
835,-7.91998,-86.2,0.000256117,0.563148,11.588,138.28,0.94,1.97626e-323,5.11588e-124,0.971291,0.0326588,0.152971,0.0494869,0.0145858,0.422869,0.240437,0.217058,5.64446e-07,0.448678
840,-10.3191,-86.2,0.000248959,0.565682,11.5876,138.28,0.94,1.97626e-323,1.0027e-124,0.970569,0.0357396,0.154721,0.0716547,0.0108168,0.352538,0.239727,0.217058,5.64446e-07,0.513183
845,-13.0794,-86.2,0.00024192,0.568133,11.5871,138.279,0.94,1.97626e-323,2.54745e-125,0.96961,0.0396109,0.156341,0.105502,0.00780961,0.279245,0.239665,0.217058,5.64446e-07,0.593315
850,-16.2806,-86.2,0.000234948,0.570501,11.5867,138.279,0.92,1.97626e-323,8.37837e-126,0.968363,0.0445963,0.157808,0.154961,0.00548253,0.206878,0.240169,0.217058,5.64446e-07,0.689288
855,-19.9967,-86.2,0.000227999,0.57278,11.5864,138.279,0.93,1.97626e-323,3.54342e-126,0.966765,0.0511556,0.159066,0.219631,0.00374653,0.140911,0.241177,0.217058,5.64446e-07,0.798635
860,-24.2856,-86.2,0.000221058,0.574969,11.5861,138.279,0.94,1.97626e-323,1.89719e-126,0.964757,0.0599314,0.159976,0.289964,0.0025015,0.0868801,0.242658,0.217058,5.64446e-07,0.917992
865,-29.1981,-86.2,0.000214137,0.577063,11.5858,138.279,0.92,1.97626e-323,1.25133e-126,0.962314,0.0718363,0.160245,0.351833,0.00164043,0.0479075,0.244646,0.217058,5.64446e-07,1.04921
870,-34.8256,-86.2,0.000207272,0.57906,11.5856,138.278,0.94,1.97626e-323,9.77708e-127,0.959445,0.0882808,0.159265,0.398625,0.00106079,0.023345,0.247352,0.217058,5.64446e-07,1.20823
875,-41.105,-86.2,0.000204728,0.579642,11.5855,138.278,0.88,0.000127819,1.74356e-05,0.956097,0.111304,0.155842,0.433391,0.000676147,0.0100248,0.251481,0.830746,0.771455,1.31019
880,-48.5212,-86.2,0.000203863,0.579609,11.5854,138.277,0.85,0.00139999,0.000366474,0.951918,0.144157,0.147739,0.46303,0.00042142,0.00373675,0.259191,0.969682,0.946095,1.6859
885,-58.1571,-86.2,0.000198813,0.580769,11.5855,138.276,0.82,0.00663939,0.00174548,0.945419,0.198871,0.129294,0.497593,0.000249446,0.00102531,0.278121,0.983455,0.964153,2.15526
890,-69.1058,-86.2,0.000192032,0.582364,11.5858,138.275,0.55,0.0333854,0.00660469,0.931254,0.286942,0.0903152,0.564906,0.000130661,0.000225518,0.315005,0.987894,0.971019,2.07427
895,-77.2679,-86.2,0.000184932,0.583983,11.5863,138.274,0.34,0.137408,0.0222512,0.898645,0.376098,0.0399544,0.691165,5.56288e-05,7.03071e-05,0.35596,0.991238,0.97665,1.11973
900,-80.7349,-86.2,0.000178058,0.585515,11.5869,138.274,0.2,0.326969,0.0545425,0.846751,0.419496,0.0129649,0.810754,1.98051e-05,4.25073e-05,0.394906,0.993876,0.981304,0.567341
905,-82.9192,-86.2,0.000171572,0.586944,11.5876,138.273,0.1,0.532236,0.097874,0.783904,0.444002,0.00543623,0.890113,6.3303e-06,3.14232e-05,0.431539,0.995903,0.985008,0.423138
910,-84.03,-86.2,0.000165494,0.588272,11.5881,138.273,0.11,0.703491,0.147003,0.715829,0.457996,0.00380485,0.937762,1.88608e-06,2.66199e-05,0.465965,0.997459,0.987922,0.0495391
915,-84.4575,-86.2,0.000159835,0.589502,11.5887,138.273,0.1,0.816012,0.196266,0.64986,0.463077,0.00347904,0.965021,5.58411e-07,2.50177e-05,0.498309,0.998663,0.990207,-0.0743544
920,-84.2744,-86.2,0.00015458,0.59064,11.5894,138.273,0.09,0.881906,0.243172,0.589275,0.461653,0.00344571,0.980368,1.78367e-07,2.5623e-05,0.528695,0.999605,0.992001,-0.0313239
925,-83.7476,-86.2,0.000149715,0.591691,11.59,138.273,0.09,0.916506,0.285586,0.536512,0.456391,0.00354775,0.988926,7.30827e-08,2.74613e-05,0.557238,1.00035,0.993413,-0.0195126
930,-84.7533,-86.2,0.000145183,0.592662,11.5905,138.272,0.05,0.938606,0.326641,0.487182,0.464823,0.00343661,0.993773,4.08761e-08,2.43002e-05,0.584053,1.00096,0.994533,0.154381
935,-85.2126,-86.2,0.000140941,0.593557,11.5909,138.272,0.04,0.954563,0.368026,0.439076,0.470326,0.00328314,0.996527,2.92711e-08,2.27727e-05,0.609246,1.00146,0.995433,0.10673
940,-85.4492,-86.2,0.000136982,0.594382,11.5913,138.272,0.03,0.964147,0.407733,0.394624,0.472762,0.00321786,0.998067,2.53185e-08,2.20621e-05,0.632913,1.00188,0.996159,0.0890692
945,-85.6734,-86.2,0.000133283,0.595141,11.5917,138.272,0.03,0.970163,0.445861,0.353535,0.475531,0.00315065,0.998927,2.33829e-08,2.13498e-05,0.655147,1.00223,0.996748,0.0421549
950,-85.7406,-86.2,0.000129828,0.595837,11.5921,138.272,0.03,0.973564,0.481841,0.316328,0.476299,0.00312668,0.999405,2.25886e-08,2.11486e-05,0.676035,1.00254,0.997229,0.0286508
955,-85.6989,-86.2,0.000126602,0.596476,11.5924,138.272,0.04,0.975305,0.515473,0.283014,0.476079,0.00312616,0.999669,2.23793e-08,2.12314e-05,0.695657,1.00281,0.997623,-0.00271972
960,-85.4756,-86.2,0.000123591,0.597061,11.5928,138.272,0.05,0.975883,0.54661,0.253503,0.474055,0.00315714,0.999816,2.26871e-08,2.18369e-05,0.71409,1.00304,0.997948,-0.0302867
965,-84.6507,-86.2,0.00012079,0.597594,11.5933,138.272,0.08,0.974653,0.574338,0.228424,0.466663,0.00329586,0.999896,2.45794e-08,2.40955e-05,0.731405,1.00324,0.998216,-0.372029
970,-83.7014,-86.2,0.000118195,0.598081,11.5939,138.272,0.06,0.971361,0.598121,0.207787,0.455506,0.00353102,0.99994,2.84006e-08,2.78009e-05,0.747669,1.00343,0.998439,0.137948
975,-84.6837,-86.2,0.00011576,0.598524,11.5942,138.272,0.04,0.969969,0.620732,0.188861,0.46371,0.00345854,0.999965,2.84481e-08,2.4604e-05,0.762948,1.00359,0.998625,0.184486
980,-85.2413,-86.2,0.000113455,0.598928,11.5945,138.272,0.05,0.971478,0.643717,0.170281,0.470605,0.00328611,0.99998,2.59098e-08,2.26637e-05,0.777303,1.00374,0.998783,-0.000275414
985,-85.5115,-86.2,0.000111281,0.599294,11.5948,138.272,0.04,0.973222,0.665933,0.152988,0.47351,0.00320554,0.999988,2.42556e-08,2.18503e-05,0.790789,1.00387,0.998918,0.0324951
990,-85.402,-86.2,0.000109239,0.599624,11.5951,138.272,0.02,0.974194,0.686818,0.137381,0.472193,0.00321029,0.999992,2.38447e-08,2.22392e-05,0.803459,1.004,0.999034,0.138011
995,-85.8724,-86.2,0.000107313,0.599922,11.5954,138.272,0,0.975587,0.706862,0.122979,0.477373,0.00312232,0.999995,2.26818e-08,2.08126e-05,0.815361,1.00411,0.999133,0.0540717
1000,-86.0328,-86.2,0.000105494,0.600189,11.5956,138.272,0.01,0.977004,0.726054,0.109735,0.479367,0.00306704,0.999996,2.16698e-08,2.03298e-05,0.826542,1.00422,0.999219,0.0172861
